topic,B0_text,B1_text+RQ,B2_text+RQ+Mod,B3_text+RQ+Mod+Con
abortion,0.5815301282591002,0.5809866011669006,0.5521292839237154,0.5382949442271476
atheism,0.48972447502798944,0.4970502123271874,0.44962267639988385,0.4650821033799757
climate,0.4542124542124542,0.4409082907938744,0.43873838156909395,0.4146784913826416
feminist,0.49739576380767186,0.4974887655300026,0.48676554402428196,0.4896918767507002
hillary,0.5440964413887324,0.5494025803760317,0.547890123791452,0.5546698508463214
