topic,B0_text,B1_text+RQ,B2_text+RQ+Mod
abortion,0.5716516717845151,0.5734082257684534,0.544336405135896
atheism,0.47599875520286306,0.48056783574024947,0.4830360402649559
climate,0.44943009118541033,0.43478395924579877,0.42115471147729217
feminist,0.4929192314608439,0.4950470784398083,0.49559226435695963
hillary,0.5275551242692916,0.5117448065561273,0.5017563026069226
